Name,New Team
Karl-Anthony Towns,NYK
Keita Bates-Diop,MIN
Donte DiVincenzo,MIN
Julius Randle,MIN
Charlie Brown,CHO
DaQuan Jeffries,CHO
Duane Washington Jr.,CHO
David Roddy,ATL
E.J. Liddell,PHO
Ziaire Williams,BRK
Mamadi Diakite,MEM
Russell Westbrook,DEN
Kris Dunn,LAC
Chris Duarte,CHI
RaiQuan Gray,CHI
DeMar DeRozan,SAC
Harrison Barnes,SAS
Klay Thompson,DAL
Kyle Anderson,GSW
Buddy Hield,GSW
Josh Green,CHO
Reggie Jackson,CHO
Mikal Bridges,NYK
Juan Pablo Vaulet,NYK
Bojan Bogdanovic,BRK
Shake Milton,BRK
Dejounte Murray,NOP
Dyson Daniels,ATL
Larry Nance Jr.,ATL
Cody Zeller,ATL
Devonte� Graham,CHO
Jonas Valanciunas,WAS
Wendell Moore Jr.,DET
Bobi Klintman,DET
Cam Spencer,MEM
Tim Hardaway Jr.,DET
Quentin Grimes,DAL
Jalen McDaniels,SAC
Davion Mitchell,TOR
Jamal Shead,TOR
Johnny Furphy,IND
Oso Ighodaro,PHO
Lindy Waters III,GSW
Antonio Reeves,NOP
Ariel Hukporti,NYK
Ajay Mitchell,OKC
Pelle Larsson,MIA
AJ Griffin,HOU
Tyler Kolek,NYK
Rob Dillingham,MIN
Dillon Jones,OKC
Kyshawn George,WAS
Ryan Dunn,PHO
Malcolm Brogdon,WAS
Carlton Carrington,WAS
Deni Avdija,POR
Alex Caruso,OKC
Josh Giddey,CHI
